importer_name,Recency_days,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
CRI FLUID SYSTEMS,497,1,10819.0,2,1,1,Hibernating
CRL INDO MAKMUR,22,2,61833338.0,4,1,3,New Customers
CROMWELL INDONESIA,62,3,38250.0,3,2,1,Need Attention
CROMWELL TOOLS,153,3,85944342.0,3,2,3,New Customers
CROWN BIOTEKNOLOGI NUSANTARA,125,1,11793.0,3,1,1,Need Attention
CROWN INDONESIA,80,44,37575044.0,3,4,3,Loyal Customers
CROWN SIGN SUPPLY INDONESIA,567,1,7390.0,2,1,1,Hibernating
CRYOGAS,1290,2,9267258059.0,1,1,4,Lost
CRYSTAL ROYAL PERCETAKAN INDONESIA,254,6,37100.0,3,2,1,Need Attention
CSA SOLUTIONS INDONESIA,10,9,771402.0,4,3,1,Promising
CSMART IOT INDONESIA,44,9,1727215.0,3,3,2,Potential Loyalist
CUCKOO GLOBAL INDONESIA,8,88,189752096.0,4,4,3,Loyal Customers
CULLETPRIMA SETIA,1750,1,103531.0,1,1,1,Lost
CUPU ARTAMA JAYA,1044,3,5224765125.0,1,2,3,Hibernating
CURUG LESTARIMAJU,12,18,32126289.0,4,3,2,Potential Loyalist
CYKLOP INDONESIA UTAMA,918,16,93012888.0,2,3,3,At Risk
CYNDERNA RODA JAYA,320,2,36040.0,3,1,1,Need Attention
CZARRE LEMBAYUNG LESTARI,10,21,46563947.0,4,3,3,Loyal Customers
D DAN T PRATAMA,77,5,1349794008.0,3,2,3,New Customers
DABINTER POMPA AIR,1326,2,101175.0,1,1,1,Lost
DACHANG SHELVING,1,30,18546060.0,4,4,2,Potential Loyalist
DACHIN ETECH GLOBAL,570,1,65024.0,2,1,1,Hibernating
DACO JAYA ABADI,57,11,9491945080.0,3,3,4,Champions
DADI PRIMA,111,8,10543022772.0,3,3,4,Champions
DAE DONG BLIND INDONESIA,556,6,18127018.0,2,2,2,About to Sleep
DAE DONG INTERNATIONAL,877,1,1082544645.0,2,1,3,Hibernating
DAE IN TECH INDONESIA,363,1,385.0,2,1,1,Hibernating
DAE YANG JAYA ABADI,785,1,11500.0,2,1,1,Hibernating
DAE YOUNG APEX INDONESIA,21,1,69920.0,4,1,1,Need Attention
DAEAH E & C INDONESIA,420,24,330585671.0,2,3,3,At Risk
DAECHANG AUTOMOTIVE INDONESIA,44,18,837381.0,3,3,1,Promising
DAEHAN GLOBAL,882,35,28138642537.0,2,4,4,At Risk
DAEHAN GLOBAL BREBES,586,8,8670397680.0,2,3,4,At Risk
DAEHWA TND INTERNATIONAL,52,8,17695998796.0,3,3,4,Champions
DAEINDO INTERNATIONAL,20,4,23966.0,4,2,1,Need Attention
DAEKYUNG INDAH HEAVY INDUSTRY,2,199,8574688807.0,4,4,4,Champions
DAELIM DOBIDOS INDONESIA,335,28,1947874.0,2,4,2,At Risk
DAENONG GLOBAL,1428,24,54579054.0,1,3,3,Can't Lose Them
DAESANG INGREDIENTS INDONESIA,1,22,352276273.0,4,3,3,Loyal Customers
DAEWOONG GROUP INDONESIA,7,1,22296.0,4,1,1,Need Attention
DAEWOONG INFION,1588,1,1045.0,1,1,1,Lost
DAEYU INDONESIA,510,2,817361.0,2,1,1,Hibernating
DAFFA LINTAS SAMUDERA,261,3,4444247.0,3,2,2,Need Attention
DAGANG BARANG SINAR INDONESIA,195,48,121399653074.0,3,4,4,Champions
DAGANG MESIN MANDIRI INDONESIA,707,2,522482265.0,2,1,3,Hibernating
DAGANG PANGAN SWADAYA INDONESIA,1,254,223726306504.0,4,4,4,Champions
DAGSAP ENDURA EATORE,1367,2,48500.0,1,1,1,Lost
DAHJU FOAM PRODUCT,2,28,26636797.0,4,4,2,Potential Loyalist
DAHLIAN FORTUNE STAR INDONESIA,1186,5,8886353792.0,1,2,4,Hibernating
DAHSHENG,296,212,233945261.0,3,4,3,Loyal Customers
DAHUA VISION TECHNOLOGY INDONESIA,1262,4,26066802.0,1,2,2,Hibernating
DAI-ICHI KIMIA RAYA,115,12,3045832.0,3,3,2,Potential Loyalist
DAIDO KOGYO INDONESIA,16,24,50801211492.0,4,3,4,Champions
DAIFUKU INDONESIA,1148,7,1728643109.0,1,3,3,Can't Lose Them
DAIHAN SAINTIFIKA INDONESIA,189,7,6419468.0,3,3,2,Potential Loyalist
DAIICHI KINZOKU INDONESIA,30,26,6056807760.0,4,3,4,Champions
DAIKEN DHARMA INDONESIA,17,20,7041233318.0,4,3,4,Champions
DAIKI ALUMINIUM INDUSTRY INDONESIA,1,5542,57952206898.0,4,4,4,Champions
DAIKIN AIRCONDITIONING INDONESIA,2,2620,146523185689.0,4,4,4,Champions
DAIKIN APPLIED SOLUTIONS INDONESIA,8,461,1609481614342.0,4,4,4,Champions
DAIKIN INDUSTRIES INDONESIA,79,11,1549600.0,3,3,2,Potential Loyalist
DAIKIN MANUFACTURING INDONESIA,496,2,1221561608.0,2,1,3,Hibernating
DAIKYO INTERNATIONAL INDONESIA,21,12,14457291449.0,4,3,4,Champions
DAILINDO NUSANTARA,715,7,31584403439.0,2,3,4,At Risk
DAIMLER COMMERCIAL VEHICLES MANUFACTURING INDONESIA,1346,1,2379166125.0,1,1,3,Lost
DAIMN,413,1,1972.0,2,1,1,Hibernating
DAIRYFOOD INTERNUSA,1400,21,1274889.0,1,3,2,Can't Lose Them
DAIRYGOLD INDONESIA,1172,3,3015271.0,1,2,2,Hibernating
DAITO INTERNATIONAL INDONESIA,114,4,532262.0,3,2,1,Need Attention
DAIWABO NONWOVEN INDONESIA,1408,30,7244846.0,1,4,2,Can't Lose Them
DAKAI IMPEX,1420,12,821950.0,1,3,1,Can't Lose Them
DAKARA CITRA TANGGUH,14,94,26332199.0,4,4,2,Potential Loyalist
DALI FOODS INDONESIA,37,2,306491276.0,4,1,3,New Customers
DALIATEX KUSUMA,64,47,38532133674.0,3,4,4,Champions
DALIMA SAPTA PELANGI,503,1,30435525.0,2,1,2,Hibernating
DALION SVARATECH SOLUSINDO,280,2,2137783282.0,3,1,3,New Customers
DALTON INDONESIA,1223,2,8197410.0,1,1,2,Lost
DAMAI ABADI,71,4,6853195.0,3,2,2,Need Attention
DAMAI BAHAGIA SEMESTA,8,18,48115097.0,4,3,3,Loyal Customers
DAMAI INTI SENTOSA,462,40,43468481373.0,2,4,4,At Risk
DAMAI MAJU SENTOSA,1650,5,15662785.0,1,2,2,Hibernating
DAMAI MULIA ABADI,8,5,642353.0,4,2,1,Need Attention
DAMAI SEJATI,92,44,4955096985.0,3,4,3,Loyal Customers
DAMAI SUKSES MAKMUR,7,190,20584577.0,4,4,2,Potential Loyalist
DAMAI SUKSESINDO,191,1,4101169048.0,3,1,3,New Customers
DAMAR MITRA SOLUSINDO,58,1,21545.0,3,1,1,Need Attention
DAMAR NIPAH PERDANA,569,1,508322.0,2,1,1,Hibernating
DAMAR SATYA ABADI,687,1,514800.0,2,1,1,Hibernating
DAMARINDO REKA KIMIA,195,14,474060.0,3,3,1,Promising
DAN LIRIS,714,28,76883335801.0,2,4,4,At Risk
DANA INDOTAMA,1729,1,114048.0,1,1,1,Lost
DANADIPA INDO LOKA,1214,4,1111838671.0,1,2,3,Hibernating
DANAKORINDO JAYA,22,139,539421477.0,4,4,3,Loyal Customers
DANAPATI INDONESIA,8,16,7124167754.0,4,3,4,Champions
DANATEL PRATAMA,657,4,593240.0,2,2,1,About to Sleep
DANAU FAJAR INDONESIA,6,29,61705694.0,4,4,3,Loyal Customers
DANESJA UTAMA PATRIA,57,1,78608.0,3,1,1,Need Attention
DANI BUNGABADI,1322,2,5110625898.0,1,1,3,Lost
DANINDO TAPE PACKAGING INDUSTRY,304,2,2483416.0,3,1,2,Need Attention
DANKOS FARMA,1452,1,4500.0,1,1,1,Lost
DANS ALAS MAKMUR,1730,3,2429716.0,1,2,2,Hibernating
DANSELL INDONESIA,58,8,1097728.0,3,3,2,Potential Loyalist
DANTRINDO,58,12,34289703081.0,3,3,4,Champions
DAPUR BOGA LESTARI,366,1,328000.0,2,1,1,Hibernating
DARITAMA INTERNUSA,6,52,289696077.0,4,4,3,Loyal Customers
DARJEELING SEMBRANI AROMA,799,19,384789698.0,2,3,3,At Risk
DARMA HENWA TBK,878,11,6828700.0,2,3,2,At Risk
DARMA PREMAMANDALA,296,1,13500.0,3,1,1,Need Attention
DARMA SARANA ABADI,870,18,14132903877.0,2,3,4,At Risk
DARMAKUSUMA ABADI SENTOSA,87,4,9414729967.0,3,2,4,New Customers
DARMAWAN SUKSES MANDIRI,2,278,152891309.0,4,4,3,Loyal Customers
DAROS SIMAN JAYA,1612,1,14900.0,1,1,1,Lost
DARYA-VARIA LABORATORIA TBK,327,63,21516002546.0,2,4,4,At Risk
DASA SEJAHTERAH ABADI,400,2,6079580526.0,2,1,4,Hibernating
DASA WINDU AGUNG,6,11,30924848216.0,4,3,4,Champions
DASAN PAN PACIFIC INDONESIA,612,57,60299570664.0,2,4,4,At Risk
DASAPRAKARSA SEJATI,335,12,11002403277.0,2,3,4,At Risk
DATACOMM DIANGRAHA,651,10,783249.0,2,3,1,At Risk
DATAGLOBAL KOMUKATAMA,6,13,17590771.0,4,3,2,Potential Loyalist
DATANET INTEGRASI INDONESIA,388,5,46937.0,2,2,1,About to Sleep
DATASCRIP,2,643,1209135161.0,4,4,3,Loyal Customers
DATONG JAYA INDONESIA,9,1,2100.0,4,1,1,Need Attention
DAUX COSMETIC,526,3,209204.0,2,2,1,About to Sleep
DAVICO UTAMA JAYA,217,1,6438745.0,3,1,2,Need Attention
DAVID ROY INDONESIA,1389,7,689667.0,1,3,1,Can't Lose Them
DAW SON INDONESIA,50,6,5374650.0,3,2,2,Need Attention
DAWEI LESTARI NUSANTARA,1084,38,2992893563.0,1,4,3,Can't Lose Them
DAWEY ETECH INDONESIA,512,20,30544308.0,2,3,2,At Risk
DAXEN INDONESIA,624,1,25000.0,2,1,1,Hibernating
DAYA AGUNG MANDIRI,275,5,625366.0,3,2,1,Need Attention
DAYA ALAM TEHNIK INTI,1318,1,146190.0,1,1,1,Lost
DAYA ANUGRAH MULYA,8,62,36510672406.0,4,4,4,Champions
DAYA CIPTA ANDALAN PERSADA,458,1,4459364426.0,2,1,3,Hibernating
DAYA ESA MULYA MANDIRI,15,4,1206146.0,4,2,2,Need Attention
DAYA KOBELCO CONSTRUCTION MACHINERY INDONESIA,245,4,7745446316.0,3,2,4,New Customers
DAYA MAJU PERKASA,86,30,21756115619.0,3,4,4,Champions
DAYA MATTRESSINDO MENGMEIXUAN,631,1,146045.0,2,1,1,Hibernating
DAYA NUSANTARA ADYATAMA,497,1,88322.0,2,1,1,Hibernating
DAYA OPTIMA SOLUSINDO,162,11,7580471.0,3,3,2,Potential Loyalist
DAYA PERKASA ABADI,37,47,117692402.0,4,4,3,Loyal Customers
DAYA PRATAMA LESTARI,742,5,10808273.0,2,2,2,About to Sleep
DAYA SANTOSA REKAYASA,401,3,23425662.0,2,2,2,About to Sleep
DAYA SWARA PRIMA,261,1,9688371587.0,3,1,4,New Customers
DAYA USAHA NUSANTARA,19,68,76191530229.0,4,4,4,Champions
DAYA YAKIN ENGKAU SUKA,903,1,340000.0,2,1,1,Hibernating
DAYACIPTA KEMASINDO,70,6,27714296.0,3,2,2,Need Attention
DAYACO SERAYA HUTAMA,6,1,18240.0,4,1,1,Need Attention
DAYASA ARIA PRIMA,3,1723,32905831491.0,4,4,4,Champions
DAYASAKTI MITRA MANDIRI,1753,2,550228.0,1,1,1,Lost
DAYTONA,75,3,114249.0,3,2,1,Need Attention
DAYTONA AZIA,133,5,505904.0,3,2,1,Need Attention
DBEST THANISA GRUP,813,1,16096.0,2,1,1,Hibernating
DBS RIBBON LABEL,1059,10,47049700.0,1,3,3,Can't Lose Them
DCC INDONESIA,401,94,2846688.0,2,4,2,At Risk
DCH AURIGA INDONESIA,815,7,10249620914.0,2,3,4,At Risk
DECATHLON SPORTS INDONESIA,1,10141,6530319205.0,4,4,4,Champions
DECO KREASINDO,43,13,1217639576.0,3,3,3,Loyal Customers
DECOR INDAH SEJATI,73,17,465044133.0,3,3,3,Loyal Customers
DECORIENT PARTAYA INDONESIA,597,3,3597489334.0,2,2,3,About to Sleep
DEERFOS INDONESIA,27,13,2743115.0,4,3,2,Potential Loyalist
DEHEUS NUTRISI INDONESIA,183,3,60900.0,3,2,1,Need Attention
DEHONG PAPER INDUSTRY,1156,182,965254478.0,1,4,3,Can't Lose Them
DEKA SARI PERKASA,505,6,1281168.0,2,2,2,About to Sleep
DEKOM BERSAUDARA,1626,2,6357020.0,1,1,2,Lost
DEKORAMIK PERDANA,15,87,65400481.0,4,4,3,Loyal Customers
DEKORINDO MANDIRI,545,1,33102.0,2,1,1,Hibernating
DEKORINDO PRATAMA,1252,8,12601105640.0,1,3,4,Can't Lose Them
DEKORINDO SUKSES,12,69,10769662.0,4,4,2,Potential Loyalist
DEKORUMA NIAGA SEJAHTERA,306,16,13122950.0,3,3,2,Potential Loyalist
DEL NNETS INDONESIA,792,12,1275483.0,2,3,2,At Risk
DELAMIBRANDS KHARISMA BUSANA,717,42,3809589056.0,2,4,3,At Risk
DELAPAN EMPAT SAKTI,421,106,23864035551.0,2,4,4,At Risk
DELAPAN GAPURA NIAGA,478,103,18231267533.0,2,4,4,At Risk
DELAPAN PILAR ANUGERAH,1044,14,53806556.0,1,3,3,Can't Lose Them
DELAPAN SAMUDERA PRATAMA,570,130,413970721655.0,2,4,4,At Risk
DELI GROUP INDONESIA,65,86,314324619210.0,3,4,4,Champions
DELI LESTARI JAYA,1505,21,30329054.0,1,3,2,Can't Lose Them
DELIA KREASI INTERNASIONAL,21,21,19827080729.0,4,3,4,Champions
DELIGHT CONNECTION COSMETICS INDONESIA,38,20,28425547819.0,4,3,4,Champions
DELIMA GLOBAL TEKNOLOGI,602,13,18500315.0,2,3,2,At Risk
DELIMA MANDIRI,30,23,652164251.0,4,3,3,Loyal Customers
DELINDO EKA CIPTA KHARISMA,738,4,71199874.0,2,2,3,About to Sleep
DELINE KOMUNIKASI INDONESIA,1255,1,1021944.0,1,1,2,Lost
DELISARI NUSANTARA,6,447,489354553530.0,4,4,4,Champions
DELL INDONESIA,1,5190,11767364115294.0,4,4,4,Champions
DELLIFOOD SENTOSA CORPINDO,52,75,6820832.0,3,4,2,Potential Loyalist
DELTA ADIB DISTRIBUSI,1284,2,193686.0,1,1,1,Lost
DELTA BRIDGE FOODS,881,2,4619169135.0,2,1,3,Hibernating
DELTA CEMERLANG ABADI,1101,57,8958100.0,1,4,2,Can't Lose Them
DELTA DJAKARTA TBK,797,2,182390.0,2,1,1,Hibernating
DELTA HORIZON,3,65,79894113763.0,4,4,4,Champions
DELTA JAGAT INDONESIA,322,2,3387122436.0,3,1,3,New Customers
DELTA JAYA MAS,163,40,44553949043.0,3,4,4,Champions
DELTA KARYA TRADING,28,1,8836392.0,4,1,2,Need Attention
DELTA NUSA CENTRALINDO,526,1,1694505.0,2,1,2,Hibernating
DELTA PRIMA MAKMUR,265,6,9838147.0,3,2,2,Need Attention
DELTA RAYA SEJAHTERA,551,1,17000.0,2,1,1,Hibernating
DELTA SARANA GRAHA PRIMA,7,381,1201192393710.0,4,4,4,Champions
DELTA SILINDER PRIMA,1304,2,997766.0,1,1,2,Lost
DELTA SURYAPUSAKA,125,15,202950.0,3,3,1,Promising
DELTA SYSTECH INDONESIA,52,31,27287822303.0,3,4,4,Champions
DELTA TACTIKAL INDONESIA,1526,1,8868911985.0,1,1,4,Lost
DELTA THERMO INDUSTRI,619,1,32606.0,2,1,1,Hibernating
DELTA TRADA,1162,1,11289.0,1,1,1,Lost
DELTA TRI UTAMA,1396,6,4860007.0,1,2,2,Hibernating
DELTADATA MANDIRI,1469,1,5295162.0,1,1,2,Lost
DELTAMAS SOLUSINDO,22,16,17585954.0,4,3,2,Potential Loyalist
DELTASINDO DWI DAYA,23,39,62775043191.0,4,4,4,Champions
DELTASINDO GLOBAL SCIENTIFIC,1423,1,2800.0,1,1,1,Lost
DEMAK PUTRA MANDIRI,29,3,1151233733.0,4,2,3,New Customers
DEMIREKS INDONESIA AND PACIFIC,1708,3,6957782.0,1,2,2,Hibernating
DENEX INTER BISKUIT ROTI INDUSTRI,90,3,7509427423.0,3,2,4,New Customers
DENKA PRATAMA INDONESIA,106,1,100928.0,3,1,1,Need Attention
DENKO WAHANA SAKTI,9,66,119034827983.0,4,4,4,Champions
DENPOO MANDIRI INDONESIA,132,8,6675142.0,3,3,2,Potential Loyalist
DENPOO UTAMA,6,234,75574538188.0,4,4,4,Champions
DENSO INDONESIA,31,24,122041439280.0,4,3,4,Champions
DENSO MANUFACTURING INDONESIA,294,42,87050430.0,3,4,3,Loyal Customers
DENSO SALES INDONESIA,513,705,1474422683907.0,2,4,4,At Risk
DENSO TEN AVE INDONESIA,1709,10,14492069454.0,1,3,4,Can't Lose Them
DENTELLE JAYA INFINITEX,367,4,189773.0,2,2,1,About to Sleep
DEPO BAJA PRIMA,30,6,595550954.0,4,2,3,New Customers
DEPO BAUT MANDIRI,979,1,441102.0,1,1,1,Lost
DERMA KOREA INDONESIA,79,3,328812169.0,3,2,3,New Customers
DERMACELL NATURA ESTETIKA,1175,2,166878.0,1,1,1,Lost
DERMAGA DUNIA GEMILANG,128,3,8386998141.0,3,2,4,New Customers
DERMANESIA,1273,2,4268318891.0,1,1,3,Lost
DESALITE TIRTAMAS TEKNOLOGI,192,5,64544.0,3,2,1,Need Attention
DESHENG JAYA INDONESIA,43,5,16494025515.0,3,2,4,New Customers
DESJOYAUX INDONESIA,14,6,22268858298.0,4,2,4,New Customers
DETOP INTERNATIONAL TRADING INDONESIA,8,4,770471.0,4,2,1,Need Attention
DEUS EXMACHINA INDONESIA,10,33,19523910.0,4,4,2,Potential Loyalist
DEVA INDUSTRIES,22,10,8728904.0,4,3,2,Potential Loyalist
DEVA MAHAPUTRA,320,18,12669643.0,3,3,2,Potential Loyalist
DEVAN MULIA JAYA,273,13,1419606.0,3,3,2,Potential Loyalist
DEVARSH SUKSES FOREVER,188,3,405000.0,3,2,1,Need Attention
DEWA PUTERA MUSTIKA,1633,1,4015.0,1,1,1,Lost
DEWA SUTRATEX,7,629,28362048953.0,4,4,4,Champions
DEWA TUNGGAL ABADI,240,2,472494617.0,3,1,3,New Customers
DEWANDARU INDOJATI,1144,3,1320834.0,1,2,2,Hibernating
DEWANTO,20,4,158080.0,4,2,1,Need Attention
DEWATA KRISTAL GEMILANG,491,2,645040.0,2,1,1,Hibernating
DEWATA VULCANINDO SURYAJAYA,9,160,160663585912.0,4,4,4,Champions
DEWI GEMILANG BERDIKARI,23,6,2366645.0,4,2,2,Need Attention
DEWI GEMILANG SEJAHTERA,689,3,532280.0,2,2,1,About to Sleep
DEWI SAMUDRA KUSUMA,693,2,542947650.0,2,1,3,Hibernating
DEWY TEXTILE FACTORY,1400,8,43574883.0,1,3,3,Can't Lose Them
DEXA MEDICA,511,5,139545.0,2,2,1,About to Sleep
DEXIN STEEL INDONESIA,3,32,508262286.0,4,4,3,Loyal Customers
DEXTONE LEMINDO,544,3,488516.0,2,2,1,About to Sleep
DHANAR MAS CONCERN,299,5,588000.0,3,2,1,Need Attention
DHANIJAYA PUTRA CEMERLANG,457,2,10404063134.0,2,1,4,Hibernating
DHANISTHA KARYA ABADI,1225,3,370220.0,1,2,1,Hibernating
DHANUSH EXPORT INTERNATIONAL,1518,5,97995.0,1,2,1,Hibernating
DHARMA AYU TANI,878,1,3482.0,2,1,1,Hibernating
DHARMA ELECTRINDO MANUFACTURING,30,19,2891054.0,4,3,2,Potential Loyalist
DHARMA HUSADA MANDIRI,638,12,20726940843.0,2,3,4,At Risk
DHARMA KARYATAMA MULIA,233,2,3783647624.0,3,1,3,New Customers
DHARMA KREASI NUSA,23,3,8817646.0,4,2,2,Need Attention
DHARMA LANCAR SUKSES,839,62,239369470244.0,2,4,4,At Risk
DHARMA MAKMUR,527,1,71739.0,2,1,1,Hibernating
DHARMA PERKASA GEMILANG,55,33,1011858.0,3,4,2,Potential Loyalist
DHARMA SUMBERDAYA INDONESIA,7,2,1700367.0,4,1,2,Need Attention
DHARMA WANA KUSALA,91,15,11375871001.0,3,3,4,Champions
DHARMAPALA USAHA SUKSES,44,127,3034352703.0,3,4,3,Loyal Customers
DHARMARINDO ANUGERAH SURYA,76,10,14605910223.0,3,3,4,Champions
DHARMAWAN INTERSARANA,1129,1,972215.0,1,1,2,Lost
DHARMESTA SWASTI MANDIRI,828,11,2112450.0,2,3,2,At Risk
DHAS TRADING INDONESIA,9,6,140821.0,4,2,1,Need Attention
DHAYA ANUGERAH UTAMA,577,9,105657030.0,2,3,3,At Risk
DIALOGUE PUTRA PRIMA,1337,1,4618773532.0,1,1,3,Lost
DIAMANTE SPARKLE FORWARDING,56,25,60240665.0,3,3,3,Loyal Customers
DIAMAS STAR,409,1,11362596.0,2,1,2,Hibernating
DIAMESCO INDONESIA,1437,1,25800.0,1,1,1,Lost
DIAMOND COLD STORAGE,378,30,8912887873.0,2,4,4,At Risk
DIAMOND DIACI ANUGRAH JAYA,35,6,16589575032.0,4,2,4,New Customers
DIAMOND ELECTRIC MFG INDONESIA,695,3,21229929.0,2,2,2,About to Sleep
DIAMOND INTEREST INTERNATIONAL,428,8,2538344.0,2,3,2,At Risk
DIAMOND INTERNATIONAL INDONESIA,160,1,1025725.0,3,1,2,Need Attention
DIAMOND SUKSES SENTOSA,14,38,1077440.0,4,4,2,Potential Loyalist
DIAMONDFAIR RITEL INDONESIA,1050,2,85572.0,1,1,1,Lost
DIAMONDINDO MITRA LESTARI,27,13,60083.0,4,3,1,Promising
DIAN CIPTA PERKASA,6,238,14535063.0,4,4,2,Potential Loyalist
DIAN CITRA UTAMA,154,1,39411.0,3,1,1,Need Attention
DIAN MAS PRATAMA,148,18,176825.0,3,3,1,Promising
DIAN MEGAH INDO PERKASA,1499,2,139461.0,1,1,1,Lost
DIAN NATURA AGRIFARMA,107,3,127894913.0,3,2,3,New Customers
DIAN RAYA CIPTA,316,20,198740851.0,3,3,3,Loyal Customers
DIANSARI PURI PLASTINDO,310,2,5546029.0,3,1,2,Need Attention
DIANSURYA GLOBAL,62,3,1233514259.0,3,2,3,New Customers
DIASTIKA BIOTEKINDO,554,13,223904.0,2,3,1,At Risk
DIC ASTRA CHEMICALS,1578,3,5124017694.0,1,2,3,Hibernating
DIC GRAPHICS,3,46,169034730.0,4,4,3,Loyal Customers
DIDA INTERNATIONAL TRADING,371,3,7190452517.0,2,2,4,About to Sleep
DIEBOLD NIXDORF INDONESIA,12,76,16666307.0,4,4,2,Potential Loyalist
DIESEL SERVIS SINERGI,1466,3,10988019032.0,1,2,4,Hibernating
DIESEL UTAMA INDONESIA,1448,5,11567057844.0,1,2,4,Hibernating
DIESVAN DWIPUTRA BERSINERGI,36,31,41504952526.0,4,4,4,Champions
DIGDAYA PUTRA PERKASA,1715,1,21736.0,1,1,1,Lost
DIGDAYA SENTOSA ABADI,1541,26,69455429.0,1,3,3,Can't Lose Them
DIGITAL ASIA,855,15,3075190.0,2,3,2,At Risk
DIGITAL DISTRIBUSI INDONESIA,23,2,865848.0,4,1,1,Need Attention
DIGITAL GEMILANG SELINDO,512,2,1092612206.0,2,1,3,Hibernating
DIGITAL GRAFIKA INDONESIA,779,5,520500.0,2,2,1,About to Sleep
DIGITAL INDO MAKMUR,62,6,182044.0,3,2,1,Need Attention
DIGITAL INOVASI ASIA,195,7,11903230.0,3,3,2,Potential Loyalist
DIGITAL LIFE,346,4,33546.0,2,2,1,About to Sleep
DIGITAL MECHANICAL TECHNOLOGY,708,5,45473004.0,2,2,3,About to Sleep
DIGITAL MEDIA GRAFINDO,211,33,49007387062.0,3,4,4,Champions
DIGITAL MULTISARANA INTEGRASI,1168,1,54375.0,1,1,1,Lost
DIGITAL PRATAMA RETAILINDO,93,3,2093062.0,3,2,2,Need Attention
DIGITAL PRIMA IMAGING,428,61,7706728891.0,2,4,4,At Risk
DIGITAL SARANA INTIMEDIA,8,130,25239812678.0,4,4,4,Champions
DIGITAL SUPLAI INDONESIA,31,52,49685696108.0,4,4,4,Champions
DIGITAL TEKNOLOGI GLOBAL,638,41,806409.0,2,4,1,At Risk
DIKA KONSTRUKSI,841,1,91572.0,2,1,1,Hibernating
DIKE SRI TRISULA,1499,39,5897170.0,1,4,2,Can't Lose Them
DILIMAS MANDIRI,22,19,832199.0,4,3,1,Promising
DIMA INDONESIA,2,169,714860220460.0,4,4,4,Champions
DIMENSI MULTI CAHAYA,166,2,30029718.0,3,1,2,Need Attention
DINAMIK MULTI SUKSES,5,502,65957643842.0,4,4,4,Champions
DINAMIKA CIPTA SOLUSI,23,11,371764.0,4,3,1,Promising
DINAMIKA HARMONI JAYA,895,24,5886236.0,2,3,2,At Risk
DINAMIKA INDONUSA PRIMA,303,9,14730382.0,3,3,2,Potential Loyalist
DINAMIKA LINTAS NIAGA,30,4,162611.0,4,2,1,Need Attention
DINAMIKA MULTI KREASINDO,1641,1,2595.0,1,1,1,Lost
DINAMIKA SISTEM TEKNOLOGI SOLUSI INDONESIA,1563,1,79872.0,1,1,1,Lost
DINAMIKA TEKNO STARINDO,770,1,141356105.0,2,1,3,Hibernating
DINAMIKAPRAKARSA MUKTI,21,25,3530677.0,4,3,2,Potential Loyalist
DINAMIX NETWORK AUTOMATIKA,1387,1,18800.0,1,1,1,Lost
DINANTI CAHAYA NUSANTARA,1546,1,29043.0,1,1,1,Lost
DINAR MAKMUR,575,1,305978478.0,2,1,3,Hibernating
DINASIRA SEMBADA,57,5,1901803.0,3,2,2,Need Attention
DING RUI FENG,292,2,16829726650.0,3,1,4,New Customers
DING SHENG TECH AND TRADE INDONESIA,535,1,1009535205.0,2,1,3,Hibernating
DING XIN TECHNOLOGY,405,4,4071055824.0,2,2,3,About to Sleep
DINGDONG PINBALL INDONESIA,117,11,36375200.0,3,3,3,Loyal Customers
DINGSHENG METAL INDONESIA,1648,2,129000.0,1,1,1,Lost
DINGSHIN INDO BANGUN,1228,1,41791.0,1,1,1,Lost
DINGXIN CINTA INDONESIA,365,2,6498106329.0,2,1,4,Hibernating
DINITO JAYA SAKTI,388,19,64891645641.0,2,3,4,At Risk
DINO CUSTOM MIXING,246,1,1048557741.0,3,1,3,New Customers
DION FARMA ABADI,41,20,8363844.0,4,3,2,Potential Loyalist
DIOSTRI BANGKIT PERSADA,632,109,91919179.0,2,4,3,At Risk
DIPA INTI NUSANTARA,70,77,95691703953.0,3,4,4,Champions
DIPA PUSPA LABSAINS,14,17,1452341036.0,4,3,3,Loyal Customers
DIPSOL INDONESIA,156,5,927532155.0,3,2,3,New Customers
DIRA MANDIRI JAYA,1051,1,79750.0,1,1,1,Lost
DIRGA BUANA SARANA,49,8,134896574.0,3,3,3,Loyal Customers
DIRGAPUTRA EKAPRATAMA,115,34,3627697090.0,3,4,3,Loyal Customers
DISCOVERY ENVIRONMENTAL SCIENCE INDONESIA,419,1,13329792.0,2,1,2,Hibernating
DISPOLY INDONESIA,797,10,16733937061.0,2,3,4,At Risk
DISTRIBUSI KESEHATAN DAN KECANTIKAN NUSANTARA,16,92,347602841.0,4,4,3,Loyal Customers
DISTRIBUSI MEBEL NUSANTARA,1,13418,1122466163732.0,4,4,4,Champions
DISTRIBUTOR BERSAMA NUSANTARA,1112,9,261707721.0,1,3,3,Can't Lose Them
DISTRINDO KOSMETA UTAMA,1259,2,5417685.0,1,1,2,Lost
DISTRIVERSA BUANAMAS,21,4,64649308.0,4,2,3,New Customers
DITOSA,1220,7,421228.0,1,3,1,Can't Lose Them
DIVERSE PRODUCT ENGINEERING,1115,4,97690.0,1,2,1,Hibernating
DIVERSEY INDONESIA,29,5,699994.0,4,2,1,Need Attention
DJ BUSANA JAYA,507,104,164205267.0,2,4,3,At Risk
