importer_name,Recency_days,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Tanggal_Snapshot
ACE HARDWARE INDONESIA TBK,470,1883,4697721628751.0,2,4,4,At Risk,2025-10-23
ACE OLDFIELDS TBK,84,34,31750096190.0,3,4,4,Champions,2025-10-23
ACER INDONESIA,1,758,16882293476.0,4,4,4,Champions,2025-10-23
ACER MANUFACTURING INDONESIA,16,52,6101448.0,4,4,2,Potential Loyalist,2025-10-23
ACG INDONESIA,300,2,4609835.0,3,1,2,Need Attention,2025-10-23
ACHINTYA KAYLA ABADI,463,2,249605118.0,2,1,3,Hibernating,2025-10-23
ACIS EKAMULA SUCAKTI,29,38,85664184590.0,4,4,4,Champions,2025-10-23
ACOOLER COLD CHAIN EQUIPMENT,126,19,6543445.0,3,3,2,Potential Loyalist,2025-10-23
ACRYL TEXTILE MILLS,485,1,49680.0,2,1,1,Hibernating,2025-10-23
ACRYLIC SIGNS MATERIAL,7,36,13568020392.0,4,4,4,Champions,2025-10-23
ACTAVIS INDONESIA,826,2,55158005.0,2,1,3,Hibernating,2025-10-23
ACTER TECHNOLOGY INDONESIA,771,1,279076.0,2,1,1,Hibernating,2025-10-23
ADAIR ALAM MURNI,1226,1,244411.0,1,1,1,Lost,2025-10-23
ADAKOM INTERNATIONAL TECHNOLOGY,1254,4,3778642854.0,1,2,3,Hibernating,2025-10-23
ADAMAS MAKMUR SEJAHTERA,356,2,67730.0,2,1,1,Hibernating,2025-10-23
ADARA BERKAH UTAMA,1645,1,17263.0,1,1,1,Lost,2025-10-23
ADARA PRIMA INTERNASIONAL,1708,4,6984085929.0,1,2,4,Hibernating,2025-10-23
ADARA SENTOSA ARFAINDO,297,7,123734.0,3,3,1,Promising,2025-10-23
ADE SINAR INDONESIA,94,8,14318358920.0,3,3,4,Champions,2025-10-23
ADE TEXTILE INDUSTRIES,1592,3,478446360.0,1,2,3,Hibernating,2025-10-23
ADEHA METALINDO,420,14,32851975847.0,2,3,4,At Risk,2025-10-23
ADEI PLANTATION & INDUSTRY,1735,1,5792633892.0,1,1,3,Lost,2025-10-23
ADELA BERKAH ABADI,631,5,7182393269.0,2,2,4,About to Sleep,2025-10-23
ADELA GRUP NUSANTARA,15,14,42087018452.0,4,3,4,Champions,2025-10-23
ADES DRILLING INDONESIA,282,2,2980429.0,3,1,2,Need Attention,2025-10-23
ADHI KARYA (PERSERO) TBK,779,3,255346.0,2,2,1,About to Sleep,2025-10-23
ADHI KARYA PERKASA,541,211,428438606314.0,2,4,4,At Risk,2025-10-23
ADHI RAJASA BUNTARA,681,1,374400.0,2,1,1,Hibernating,2025-10-23
ADHI RAJASA DANESWARA,61,2,5812481106.0,3,1,3,New Customers,2025-10-23
ADHI RAJASA LANCAR,453,12,13426674.0,2,3,2,At Risk,2025-10-23
ADHIKARISMA PRATAMA,419,1,373326.0,2,1,1,Hibernating,2025-10-23
ADHINUSA LESTARIJAYA,27,9,1084365.0,4,3,2,Potential Loyalist,2025-10-23
ADHIREKSA MANDIRI INDONET,489,1,427575.0,2,1,1,Hibernating,2025-10-23
ADHISAKTI SOLUSI KOMPUTINDO,103,3,5265945067.0,3,2,3,New Customers,2025-10-23
ADHITAMA ARKA PRASADA,190,4,13576093953.0,3,2,4,New Customers,2025-10-23
ADHITYA MANDIRIPRATAMA,7,5,4986015340.0,4,2,3,New Customers,2025-10-23
ADHYA GRAHA KENCANA,791,1,3649720542.0,2,1,3,Hibernating,2025-10-23
ADI ARTHA PERKASA,308,84,27077303.0,3,4,2,Potential Loyalist,2025-10-23
ADI CITRA ANGGANA,524,1,3203718194.0,2,1,3,Hibernating,2025-10-23
ADI FORTUNE METAL,2,50,149598104.0,4,4,3,Loyal Customers,2025-10-23
ADI GASTI SAMITRA,1448,5,2540621.0,1,2,2,Hibernating,2025-10-23
ADI GEOTAMA KONSTRUKSINDO,261,3,16156702.0,3,2,2,Need Attention,2025-10-23
ADI GRAHA PRATAMA,275,2,1892539.0,3,1,2,Need Attention,2025-10-23
ADI JAYA MANDIRINDO,538,1,118360375.0,2,1,3,Hibernating,2025-10-23
ADI MILLINDO MESIN,990,2,48750.0,1,1,1,Lost,2025-10-23
ADI NUSA GLORY,114,16,27223726575.0,3,3,4,Champions,2025-10-23
ADI PRATAMA INDONESIA,142,6,301020.0,3,2,1,Need Attention,2025-10-23
ADI PRATAMA MAKMUR,153,12,3734774.0,3,3,2,Potential Loyalist,2025-10-23
ADI REKA MANDIRI,231,6,198525.0,3,2,1,Need Attention,2025-10-23
ADI SAKTI STEEL,1058,3,3386466.0,1,2,2,Hibernating,2025-10-23
ADI SATRIA ABADI,30,164,721752112.0,4,4,3,Loyal Customers,2025-10-23
ADI SUKSES SEJAHTERA,409,1,3540.0,2,1,1,Hibernating,2025-10-23
ADI TEKNIK JAYA,52,12,481306671.0,3,3,3,Loyal Customers,2025-10-23
ADI TEKNIK KARYA BAKTI,437,33,25324738918.0,2,4,4,At Risk,2025-10-23
ADICENTRA AROMETAL,13,163,462043422179.0,4,4,4,Champions,2025-10-23
ADICIPTA SEKATA NUSAJAYA,225,2,1998.0,3,1,1,Need Attention,2025-10-23
ADIDAS INDONESIA,2,13944,45581119033676.0,4,4,4,Champions,2025-10-23
ADIDAYA ANDALAN ASIA,217,14,20600010.0,3,3,2,Potential Loyalist,2025-10-23
ADIENT AUTOMOTIVE INDONESIA,163,282,583719879099.0,3,4,4,Champions,2025-10-23
ADIGUNA METALINDO ABADI,129,9,2507194.0,3,3,2,Potential Loyalist,2025-10-23
ADIJAYA MAKMUR SEJAHTERA,7,40,70718990.0,4,4,3,Loyal Customers,2025-10-23
ADIKARYA BUSANA PRIMA,407,33,148073909.0,2,4,3,At Risk,2025-10-23
ADIKARYA GEMILANG,309,91,5174801364.0,3,4,3,Loyal Customers,2025-10-23
ADIL MAKMUR FAJAR,514,15,1269076.0,2,3,2,At Risk,2025-10-23
ADIMACHINERY GEMAPERKASA,127,6,217242014.0,3,2,3,New Customers,2025-10-23
ADIMAS AGUNG PERKASA,50,119,37320957871.0,3,4,4,Champions,2025-10-23
ADIMAS ISOLASITAMA,66,28,38739656.0,3,4,3,Loyal Customers,2025-10-23
ADIMITRA GLOBALINDO PERKASA,524,18,50671552.0,2,3,3,At Risk,2025-10-23
ADIMITRA KARUNIA,1116,6,78460.0,1,2,1,Hibernating,2025-10-23
ADIPATI JOYO DIRONO,1037,21,3935735.0,1,3,2,Can't Lose Them,2025-10-23
ADIPERKASA BUMI SENTOSA,1039,63,8453152.0,1,4,2,Can't Lose Them,2025-10-23
ADIPRIMA SURAPRINTA,6,2303,4429776367.0,4,4,3,Loyal Customers,2025-10-23
ADIPUTRO WIRASEJATI,178,5,288936.0,3,2,1,Need Attention,2025-10-23
ADIRA SEMESTA INDUSTRY,2,106,43641952271.0,4,4,4,Champions,2025-10-23
ADIRAJA PERSADA TEKNOLOGI,15,30,1187223279.0,4,4,3,Loyal Customers,2025-10-23
ADISTI GENEA ESTETICA,141,4,16875321395.0,3,2,4,New Customers,2025-10-23
ADITYA MANDIRI SEJAHTERA,8,28,218596762.0,4,4,3,Loyal Customers,2025-10-23
ADITYA MANUFAKTUR INDONESIA,78,5,13789641095.0,3,2,4,New Customers,2025-10-23
ADITYA PRATAMA GARMEN,1284,2,9829360.0,1,1,2,Lost,2025-10-23
ADITYA SARANA GRAHA,3,864,1778135729435.0,4,4,4,Champions,2025-10-23
ADIWARA WORLDWIDE,836,2,40500.0,2,1,1,Hibernating,2025-10-23
ADIWARNA ANUGERAH ABADI TBK,28,6,6005768.0,4,2,2,Need Attention,2025-10-23
ADIWARNA GEMILANG,373,4,91928.0,2,2,1,About to Sleep,2025-10-23
ADIWRAKSA ATYANTA,444,2,79063.0,2,1,1,Hibernating,2025-10-23
ADLINA MAHIRAH SARASWATI PUTRI,1255,1,267200.0,1,1,1,Lost,2025-10-23
ADMART INDONESIA,286,1,1168763117.0,3,1,3,New Customers,2025-10-23
ADMIRALINDO BINTANG TERANG,1562,4,7726841.0,1,2,2,Hibernating,2025-10-23
ADONIA FOOTWEAR INDONESIA,864,2,3239.0,2,1,1,Hibernating,2025-10-23
ADRIFT BALI INDONESIA,1028,2,921114.0,1,1,2,Lost,2025-10-23
ADVANCE ELECTRIC MACHINERYA,575,1,9874637.0,2,1,2,Hibernating,2025-10-23
ADVANTECH INTERNATIONAL,16,167,11924405749.0,4,4,4,Champions,2025-10-23
ADYA ADDIJAYA PRANA,27,1,2611722.0,4,1,2,Need Attention,2025-10-23
ADYABINA PUTRAMAS,1301,1,7015.0,1,1,1,Lost,2025-10-23
ADYAWINSA ELECTRICAL AND POWER,822,4,3237285.0,2,2,2,About to Sleep,2025-10-23
ADYAWINSA STAMPING INDUSTRIES,232,1,1076126684.0,3,1,3,New Customers,2025-10-23
ADYS LABEL INDONESIA,5,2,2209164.0,4,1,2,Need Attention,2025-10-23
AEON INDONESIA,1282,4,15471087544.0,1,2,4,Hibernating,2025-10-23
AEONIAN COSMETIC INDONESIA,62,3,579718.0,3,2,1,Need Attention,2025-10-23
AERO PRO JAYA,801,4,1090140.0,2,2,2,About to Sleep,2025-10-23
AFC BERJAYA INDONESIA,42,7,12594003814.0,4,3,4,Champions,2025-10-23
AFOS,521,17,27473569439.0,2,3,4,At Risk,2025-10-23
AFRO PACIFIC INDAH STEEL,388,12,394714588.0,2,3,3,At Risk,2025-10-23
AGAM BUMI BERKAH,62,8,502399.0,3,3,1,Promising,2025-10-23
AGANSA PRIMATAMA,814,14,62855738.0,2,3,3,At Risk,2025-10-23
AGAPE THERESINDO,41,49,6630785815.0,4,4,4,Champions,2025-10-23
AGATA PROMAR,21,109,154301186446.0,4,4,4,Champions,2025-10-23
AGATE INTERNATIONAL,758,1,5337765.0,2,1,2,Hibernating,2025-10-23
AGATECH FIBER TEKNOLOGI,94,2,1321983937.0,3,1,3,New Customers,2025-10-23
AGGA TERRA JAYA,22,29,55910766367.0,4,4,4,Champions,2025-10-23
AGHRA PUTRA SEMESTA,1753,1,574200.0,1,1,1,Lost,2025-10-23
AGINCOURT RESOURCES,7,129,447824013777.0,4,4,4,Champions,2025-10-23
AGLAR JANA LOKA,3,13,1000381.0,4,3,2,Potential Loyalist,2025-10-23
AGNINDO ARTHA SENTOSA,6,15,499609.0,4,3,1,Promising,2025-10-23
AGO FURINDO,1455,3,460324.0,1,2,1,Hibernating,2025-10-23
AGPA REFINERY COMPLEX,108,4,1837029.0,3,2,2,Need Attention,2025-10-23
AGRA GARLICA LESTARI,1416,20,19331166.0,1,3,2,Can't Lose Them,2025-10-23
AGRA HIRAYA SWALAYAN,1192,2,2852028.0,1,1,2,Lost,2025-10-23
AGRA JAYA NUSANTARA,1043,9,975610.0,1,3,2,Can't Lose Them,2025-10-23
AGRA SURYA ENERGY,91,2,63195.0,3,1,1,Need Attention,2025-10-23
AGRI INDO SEJAHTERA,1408,8,2125938.0,1,3,2,Can't Lose Them,2025-10-23
AGRI INDOMAS,266,12,84702634.0,3,3,3,Loyal Customers,2025-10-23
AGRI JAYA SARANA,695,28,14124197476.0,2,4,4,At Risk,2025-10-23
AGRI KEMIA NATURA,1210,2,5730.0,1,1,1,Lost,2025-10-23
AGRI MAKMUR PERTIWI,140,1,2273092.0,3,1,2,Need Attention,2025-10-23
AGRI SEGAR NUSANTARA,1396,26,1204941.0,1,3,2,Can't Lose Them,2025-10-23
AGRI SPICE INDONESIA,126,3,93202.0,3,2,1,Need Attention,2025-10-23
AGRI SUMBA MAS,1504,1,147000.0,1,1,1,Lost,2025-10-23
AGRI TERRA NUSANTARA,1108,12,1201325.0,1,3,2,Can't Lose Them,2025-10-23
AGRI TIMUR MAS,1469,10,2157600.0,1,3,2,Can't Lose Them,2025-10-23
AGRI TUNAS MAKMUR,1400,36,207992004.0,1,4,3,Can't Lose Them,2025-10-23
AGRICULTURE CONSTRUCTION,469,1,3239082.0,2,1,2,Hibernating,2025-10-23
AGRIJAYA,688,1,260000.0,2,1,1,Hibernating,2025-10-23
AGRIJAYA PRIMA SUKSES,310,2,282843.0,3,1,1,Need Attention,2025-10-23
AGRIMULIA TANI PERSADA,1098,2,406000.0,1,1,1,Lost,2025-10-23
AGRINDO,1520,1,23584.0,1,1,1,Lost,2025-10-23
AGRINDO ANUGRAH ALAMRAYA,1175,43,95665078.0,1,4,3,Can't Lose Them,2025-10-23
AGRINDO PUTRA LESTARI,184,2,5016603116.0,3,1,3,New Customers,2025-10-23
AGRINUSA JAYA SANTOSA,76,7,17858481032.0,3,3,4,Champions,2025-10-23
AGRITAMA MITRA SEJATI,5,104,47433542564.0,4,4,4,Champions,2025-10-23
AGRITEAM BATAVIA INTERNASIONAL,1403,2,64904.0,1,1,1,Lost,2025-10-23
AGRO ABADI MANDIRI,724,33,19706530380.0,2,4,4,At Risk,2025-10-23
AGRO BINA USAHA,1158,30,38459649.0,1,4,3,Can't Lose Them,2025-10-23
AGRO BINTANG PERSADA,1088,10,25803812.0,1,3,2,Can't Lose Them,2025-10-23
AGRO BOGA UTAMA,2,1233,2563050589256.0,4,4,4,Champions,2025-10-23
AGRO BUMI DIGDAYA,1031,52,14634170.0,1,4,2,Can't Lose Them,2025-10-23
AGRO CITA MANDIRI,8,1,62976.0,4,1,1,Need Attention,2025-10-23
AGRO CROPS INDONESIA,1422,15,38300096.0,1,3,3,Can't Lose Them,2025-10-23
AGRO DYNAMICS INDO,27,7,9443534697.0,4,3,4,Champions,2025-10-23
AGRO HASIL BUMI,1050,7,1284845.0,1,3,2,Can't Lose Them,2025-10-23
AGRO HESINA JAYA,164,2,1833498.0,3,1,2,Need Attention,2025-10-23
AGRO INDAH MANDIRI,1234,77,12712917413.0,1,4,4,Can't Lose Them,2025-10-23
AGRO KENCANA FOOD,1262,10,12399729.0,1,3,2,Can't Lose Them,2025-10-23
AGRO MANDIRI ABADI,28,6,150252.0,4,2,1,Need Attention,2025-10-23
AGRO METRO PERSADA,1056,1,40600.0,1,1,1,Lost,2025-10-23
AGRO MULTI MAKMUR,1149,126,2170671080.0,1,4,3,Can't Lose Them,2025-10-23
AGRO NATURA SUKSES,1465,45,111356041095.0,1,4,4,Can't Lose Them,2025-10-23
AGRO NUSA SUKSES,1023,311,101683146784.0,1,4,4,Can't Lose Them,2025-10-23
AGRO NUSANTARA SAKTI,904,1,5073539837.0,2,1,3,Hibernating,2025-10-23
AGRO PERTANIAN INDONESIA,1064,2,146450.0,1,1,1,Lost,2025-10-23
AGRO PRAWIRA UTAMA,1063,35,226733775.0,1,4,3,Can't Lose Them,2025-10-23
AGRO RAYA MAS,604,1,182000.0,2,1,1,Hibernating,2025-10-23
AGRO SELARAS SINERGI,280,1,16773356.0,3,1,2,Need Attention,2025-10-23
AGRO SENTOSA LESTARI,856,14,1118087525.0,2,3,3,At Risk,2025-10-23
AGRO SENTRAL JAYA,1431,12,17347911.0,1,3,2,Can't Lose Them,2025-10-23
AGRO SOLUSINDO PERMATA,1091,7,1323850.0,1,3,2,Can't Lose Them,2025-10-23
AGRO TIMUR INDONESIA,1403,5,992468653.0,1,2,3,Hibernating,2025-10-23
AGRO WESTINDO ABADI,63,7,1362653.0,3,3,2,Potential Loyalist,2025-10-23
AGRO YASA MANDIRI,509,2,36810.0,2,1,1,Hibernating,2025-10-23
AGROFARM NUSA RAYA,114,12,3739565.0,3,3,2,Potential Loyalist,2025-10-23
AGROFOOD MAKMUR MANDIRI,23,41,14419111.0,4,4,2,Potential Loyalist,2025-10-23
AGROLESTARI MANDIRI,104,1,559969674.0,3,1,3,New Customers,2025-10-23
AGROPOLY SENTOSA MANDIRI,9,402,49716773.0,4,4,3,Loyal Customers,2025-10-23
AGROS GLOBAL INDONESIA,274,1,56850.0,3,1,1,Need Attention,2025-10-23
AGROTAMA JAYA ABADI,966,14,105179786.0,1,3,3,Can't Lose Them,2025-10-23
AGROTEK ANDAL,673,3,65830.0,2,2,1,About to Sleep,2025-10-23
AGROTRANS UTAMA,1662,4,800000.0,1,2,1,Hibernating,2025-10-23
AGROVETA HUSADA DHARMA,238,2,83149242.0,3,1,3,New Customers,2025-10-23
AGUNG BUMI CATUR,34,4,5729633387.0,4,2,3,New Customers,2025-10-23
AGUNG CIPTA INDAH,927,2,1137524850.0,2,1,3,Hibernating,2025-10-23
AGUNG ENVIRO TEKNOLOGI,141,1,29218104.0,3,1,2,Need Attention,2025-10-23
AGUNG GLOBALINDO MAKMUR,160,1,78981.0,3,1,1,Need Attention,2025-10-23
AGUNG HADI PERKASA,1429,67,23942463.0,1,4,2,Can't Lose Them,2025-10-23
AGUNG KARYA SAMANTA,687,57,12425715.0,2,4,2,At Risk,2025-10-23
