importer_name,Recency_days,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Tanggal_Snapshot
DAMAI MAJU SENTOSA,1650,5,15662785.0,1,2,2,Hibernating,2025-10-23
DAMAI MULIA ABADI,8,5,642353.0,4,2,1,Need Attention,2025-10-23
DAMAI SEJATI,92,44,4955096985.0,3,4,3,Loyal Customers,2025-10-23
DAMAI SUKSES MAKMUR,7,190,20584577.0,4,4,2,Potential Loyalist,2025-10-23
DAMAI SUKSESINDO,191,1,4101169048.0,3,1,3,New Customers,2025-10-23
DAMAR MITRA SOLUSINDO,58,1,21545.0,3,1,1,Need Attention,2025-10-23
DAMAR NIPAH PERDANA,569,1,508322.0,2,1,1,Hibernating,2025-10-23
DAMAR SATYA ABADI,687,1,514800.0,2,1,1,Hibernating,2025-10-23
DAMARINDO REKA KIMIA,195,14,474060.0,3,3,1,Promising,2025-10-23
DAN LIRIS,714,28,76883335801.0,2,4,4,At Risk,2025-10-23
DANA INDOTAMA,1729,1,114048.0,1,1,1,Lost,2025-10-23
DANADIPA INDO LOKA,1214,4,1111838671.0,1,2,3,Hibernating,2025-10-23
DANAKORINDO JAYA,22,139,539421477.0,4,4,3,Loyal Customers,2025-10-23
DANAPATI INDONESIA,8,16,7124167754.0,4,3,4,Champions,2025-10-23
DANATEL PRATAMA,657,4,593240.0,2,2,1,About to Sleep,2025-10-23
DANAU FAJAR INDONESIA,6,29,61705694.0,4,4,3,Loyal Customers,2025-10-23
DANESJA UTAMA PATRIA,57,1,78608.0,3,1,1,Need Attention,2025-10-23
DANI BUNGABADI,1322,2,5110625898.0,1,1,3,Lost,2025-10-23
DANINDO TAPE PACKAGING INDUSTRY,304,2,2483416.0,3,1,2,Need Attention,2025-10-23
DANKOS FARMA,1452,1,4500.0,1,1,1,Lost,2025-10-23
DANS ALAS MAKMUR,1730,3,2429716.0,1,2,2,Hibernating,2025-10-23
DANSELL INDONESIA,58,8,1097728.0,3,3,2,Potential Loyalist,2025-10-23
DANTRINDO,58,12,34289703081.0,3,3,4,Champions,2025-10-23
DAPUR BOGA LESTARI,366,1,328000.0,2,1,1,Hibernating,2025-10-23
DARITAMA INTERNUSA,6,52,289696077.0,4,4,3,Loyal Customers,2025-10-23
DARJEELING SEMBRANI AROMA,799,19,384789698.0,2,3,3,At Risk,2025-10-23
DARMA HENWA TBK,878,11,6828700.0,2,3,2,At Risk,2025-10-23
DARMA PREMAMANDALA,296,1,13500.0,3,1,1,Need Attention,2025-10-23
DARMA SARANA ABADI,870,18,14132903877.0,2,3,4,At Risk,2025-10-23
DARMAKUSUMA ABADI SENTOSA,87,4,9414729967.0,3,2,4,New Customers,2025-10-23
DARMAWAN SUKSES MANDIRI,2,278,152891309.0,4,4,3,Loyal Customers,2025-10-23
DAROS SIMAN JAYA,1612,1,14900.0,1,1,1,Lost,2025-10-23
DARYA-VARIA LABORATORIA TBK,327,63,21516002546.0,2,4,4,At Risk,2025-10-23
DASA SEJAHTERAH ABADI,400,2,6079580526.0,2,1,4,Hibernating,2025-10-23
DASA WINDU AGUNG,6,11,30924848216.0,4,3,4,Champions,2025-10-23
DASAN PAN PACIFIC INDONESIA,612,57,60299570664.0,2,4,4,At Risk,2025-10-23
DASAPRAKARSA SEJATI,335,12,11002403277.0,2,3,4,At Risk,2025-10-23
DATACOMM DIANGRAHA,651,10,783249.0,2,3,1,At Risk,2025-10-23
DATAGLOBAL KOMUKATAMA,6,13,17590771.0,4,3,2,Potential Loyalist,2025-10-23
DATANET INTEGRASI INDONESIA,388,5,46937.0,2,2,1,About to Sleep,2025-10-23
DATASCRIP,2,643,1209135161.0,4,4,3,Loyal Customers,2025-10-23
DATONG JAYA INDONESIA,9,1,2100.0,4,1,1,Need Attention,2025-10-23
DAUX COSMETIC,526,3,209204.0,2,2,1,About to Sleep,2025-10-23
DAVICO UTAMA JAYA,217,1,6438745.0,3,1,2,Need Attention,2025-10-23
DAVID ROY INDONESIA,1389,7,689667.0,1,3,1,Can't Lose Them,2025-10-23
DAW SON INDONESIA,50,6,5374650.0,3,2,2,Need Attention,2025-10-23
DAWEI LESTARI NUSANTARA,1084,38,2992893563.0,1,4,3,Can't Lose Them,2025-10-23
DAWEY ETECH INDONESIA,512,20,30544308.0,2,3,2,At Risk,2025-10-23
DAXEN INDONESIA,624,1,25000.0,2,1,1,Hibernating,2025-10-23
DAYA AGUNG MANDIRI,275,5,625366.0,3,2,1,Need Attention,2025-10-23
DAYA ALAM TEHNIK INTI,1318,1,146190.0,1,1,1,Lost,2025-10-23
DAYA ANUGRAH MULYA,8,62,36510672406.0,4,4,4,Champions,2025-10-23
DAYA CIPTA ANDALAN PERSADA,458,1,4459364426.0,2,1,3,Hibernating,2025-10-23
DAYA ESA MULYA MANDIRI,15,4,1206146.0,4,2,2,Need Attention,2025-10-23
DAYA KOBELCO CONSTRUCTION MACHINERY INDONESIA,245,4,7745446316.0,3,2,4,New Customers,2025-10-23
DAYA MAJU PERKASA,86,30,21756115619.0,3,4,4,Champions,2025-10-23
DAYA MATTRESSINDO MENGMEIXUAN,631,1,146045.0,2,1,1,Hibernating,2025-10-23
DAYA NUSANTARA ADYATAMA,497,1,88322.0,2,1,1,Hibernating,2025-10-23
DAYA OPTIMA SOLUSINDO,162,11,7580471.0,3,3,2,Potential Loyalist,2025-10-23
DAYA PERKASA ABADI,37,47,117692402.0,4,4,3,Loyal Customers,2025-10-23
DAYA PRATAMA LESTARI,742,5,10808273.0,2,2,2,About to Sleep,2025-10-23
DAYA SANTOSA REKAYASA,401,3,23425662.0,2,2,2,About to Sleep,2025-10-23
DAYA SWARA PRIMA,261,1,9688371587.0,3,1,4,New Customers,2025-10-23
DAYA USAHA NUSANTARA,19,68,76191530229.0,4,4,4,Champions,2025-10-23
DAYA YAKIN ENGKAU SUKA,903,1,340000.0,2,1,1,Hibernating,2025-10-23
DAYACIPTA KEMASINDO,70,6,27714296.0,3,2,2,Need Attention,2025-10-23
DAYACO SERAYA HUTAMA,6,1,18240.0,4,1,1,Need Attention,2025-10-23
DAYASA ARIA PRIMA,3,1723,32905831491.0,4,4,4,Champions,2025-10-23
DAYASAKTI MITRA MANDIRI,1753,2,550228.0,1,1,1,Lost,2025-10-23
DAYTONA,75,3,114249.0,3,2,1,Need Attention,2025-10-23
DAYTONA AZIA,133,5,505904.0,3,2,1,Need Attention,2025-10-23
DBEST THANISA GRUP,813,1,16096.0,2,1,1,Hibernating,2025-10-23
DBS RIBBON LABEL,1059,10,47049700.0,1,3,3,Can't Lose Them,2025-10-23
DCC INDONESIA,401,94,2846688.0,2,4,2,At Risk,2025-10-23
DCH AURIGA INDONESIA,815,7,10249620914.0,2,3,4,At Risk,2025-10-23
DECATHLON SPORTS INDONESIA,1,10141,6530319205.0,4,4,4,Champions,2025-10-23
DECO KREASINDO,43,13,1217639576.0,3,3,3,Loyal Customers,2025-10-23
DECOR INDAH SEJATI,73,17,465044133.0,3,3,3,Loyal Customers,2025-10-23
DECORIENT PARTAYA INDONESIA,597,3,3597489334.0,2,2,3,About to Sleep,2025-10-23
DEERFOS INDONESIA,27,13,2743115.0,4,3,2,Potential Loyalist,2025-10-23
DEHEUS NUTRISI INDONESIA,183,3,60900.0,3,2,1,Need Attention,2025-10-23
DEHONG PAPER INDUSTRY,1156,182,965254478.0,1,4,3,Can't Lose Them,2025-10-23
DEKA SARI PERKASA,505,6,1281168.0,2,2,2,About to Sleep,2025-10-23
DEKOM BERSAUDARA,1626,2,6357020.0,1,1,2,Lost,2025-10-23
DEKORAMIK PERDANA,15,87,65400481.0,4,4,3,Loyal Customers,2025-10-23
DEKORINDO MANDIRI,545,1,33102.0,2,1,1,Hibernating,2025-10-23
DEKORINDO PRATAMA,1252,8,12601105640.0,1,3,4,Can't Lose Them,2025-10-23
DEKORINDO SUKSES,12,69,10769662.0,4,4,2,Potential Loyalist,2025-10-23
DEKORUMA NIAGA SEJAHTERA,306,16,13122950.0,3,3,2,Potential Loyalist,2025-10-23
DEL NNETS INDONESIA,792,12,1275483.0,2,3,2,At Risk,2025-10-23
DELAMIBRANDS KHARISMA BUSANA,717,42,3809589056.0,2,4,3,At Risk,2025-10-23
DELAPAN EMPAT SAKTI,421,106,23864035551.0,2,4,4,At Risk,2025-10-23
DELAPAN GAPURA NIAGA,478,103,18231267533.0,2,4,4,At Risk,2025-10-23
DELAPAN PILAR ANUGERAH,1044,14,53806556.0,1,3,3,Can't Lose Them,2025-10-23
DELAPAN SAMUDERA PRATAMA,570,130,413970721655.0,2,4,4,At Risk,2025-10-23
DELI GROUP INDONESIA,65,86,314324619210.0,3,4,4,Champions,2025-10-23
DELI LESTARI JAYA,1505,21,30329054.0,1,3,2,Can't Lose Them,2025-10-23
DELIA KREASI INTERNASIONAL,21,21,19827080729.0,4,3,4,Champions,2025-10-23
DELIGHT CONNECTION COSMETICS INDONESIA,38,20,28425547819.0,4,3,4,Champions,2025-10-23
DELIMA GLOBAL TEKNOLOGI,602,13,18500315.0,2,3,2,At Risk,2025-10-23
DELIMA MANDIRI,30,23,652164251.0,4,3,3,Loyal Customers,2025-10-23
DELINDO EKA CIPTA KHARISMA,738,4,71199874.0,2,2,3,About to Sleep,2025-10-23
DELINE KOMUNIKASI INDONESIA,1255,1,1021944.0,1,1,2,Lost,2025-10-23
DELISARI NUSANTARA,6,447,489354553530.0,4,4,4,Champions,2025-10-23
DELL INDONESIA,1,5190,11767364115294.0,4,4,4,Champions,2025-10-23
DELLIFOOD SENTOSA CORPINDO,52,75,6820832.0,3,4,2,Potential Loyalist,2025-10-23
DELTA ADIB DISTRIBUSI,1284,2,193686.0,1,1,1,Lost,2025-10-23
DELTA BRIDGE FOODS,881,2,4619169135.0,2,1,3,Hibernating,2025-10-23
DELTA CEMERLANG ABADI,1101,57,8958100.0,1,4,2,Can't Lose Them,2025-10-23
DELTA DJAKARTA TBK,797,2,182390.0,2,1,1,Hibernating,2025-10-23
DELTA HORIZON,3,65,79894113763.0,4,4,4,Champions,2025-10-23
DELTA JAGAT INDONESIA,322,2,3387122436.0,3,1,3,New Customers,2025-10-23
DELTA JAYA MAS,163,40,44553949043.0,3,4,4,Champions,2025-10-23
DELTA KARYA TRADING,28,1,8836392.0,4,1,2,Need Attention,2025-10-23
DELTA NUSA CENTRALINDO,526,1,1694505.0,2,1,2,Hibernating,2025-10-23
DELTA PRIMA MAKMUR,265,6,9838147.0,3,2,2,Need Attention,2025-10-23
DELTA RAYA SEJAHTERA,551,1,17000.0,2,1,1,Hibernating,2025-10-23
DELTA SARANA GRAHA PRIMA,7,381,1201192393710.0,4,4,4,Champions,2025-10-23
DELTA SILINDER PRIMA,1304,2,997766.0,1,1,2,Lost,2025-10-23
DELTA SURYAPUSAKA,125,15,202950.0,3,3,1,Promising,2025-10-23
DELTA SYSTECH INDONESIA,52,31,27287822303.0,3,4,4,Champions,2025-10-23
DELTA TACTIKAL INDONESIA,1526,1,8868911985.0,1,1,4,Lost,2025-10-23
DELTA THERMO INDUSTRI,619,1,32606.0,2,1,1,Hibernating,2025-10-23
DELTA TRADA,1162,1,11289.0,1,1,1,Lost,2025-10-23
DELTA TRI UTAMA,1396,6,4860007.0,1,2,2,Hibernating,2025-10-23
DELTADATA MANDIRI,1469,1,5295162.0,1,1,2,Lost,2025-10-23
DELTAMAS SOLUSINDO,22,16,17585954.0,4,3,2,Potential Loyalist,2025-10-23
DELTASINDO DWI DAYA,23,39,62775043191.0,4,4,4,Champions,2025-10-23
DELTASINDO GLOBAL SCIENTIFIC,1423,1,2800.0,1,1,1,Lost,2025-10-23
DEMAK PUTRA MANDIRI,29,3,1151233733.0,4,2,3,New Customers,2025-10-23
DEMIREKS INDONESIA AND PACIFIC,1708,3,6957782.0,1,2,2,Hibernating,2025-10-23
DENEX INTER BISKUIT ROTI INDUSTRI,90,3,7509427423.0,3,2,4,New Customers,2025-10-23
DENKA PRATAMA INDONESIA,106,1,100928.0,3,1,1,Need Attention,2025-10-23
DENKO WAHANA SAKTI,9,66,119034827983.0,4,4,4,Champions,2025-10-23
DENPOO MANDIRI INDONESIA,132,8,6675142.0,3,3,2,Potential Loyalist,2025-10-23
DENPOO UTAMA,6,234,75574538188.0,4,4,4,Champions,2025-10-23
DENSO INDONESIA,31,24,122041439280.0,4,3,4,Champions,2025-10-23
DENSO MANUFACTURING INDONESIA,294,42,87050430.0,3,4,3,Loyal Customers,2025-10-23
DENSO SALES INDONESIA,513,705,1474422683907.0,2,4,4,At Risk,2025-10-23
DENSO TEN AVE INDONESIA,1709,10,14492069454.0,1,3,4,Can't Lose Them,2025-10-23
DENTELLE JAYA INFINITEX,367,4,189773.0,2,2,1,About to Sleep,2025-10-23
DEPO BAJA PRIMA,30,6,595550954.0,4,2,3,New Customers,2025-10-23
DEPO BAUT MANDIRI,979,1,441102.0,1,1,1,Lost,2025-10-23
DERMA KOREA INDONESIA,79,3,328812169.0,3,2,3,New Customers,2025-10-23
DERMACELL NATURA ESTETIKA,1175,2,166878.0,1,1,1,Lost,2025-10-23
DERMAGA DUNIA GEMILANG,128,3,8386998141.0,3,2,4,New Customers,2025-10-23
DERMANESIA,1273,2,4268318891.0,1,1,3,Lost,2025-10-23
DESALITE TIRTAMAS TEKNOLOGI,192,5,64544.0,3,2,1,Need Attention,2025-10-23
DESHENG JAYA INDONESIA,43,5,16494025515.0,3,2,4,New Customers,2025-10-23
DESJOYAUX INDONESIA,14,6,22268858298.0,4,2,4,New Customers,2025-10-23
DETOP INTERNATIONAL TRADING INDONESIA,8,4,770471.0,4,2,1,Need Attention,2025-10-23
DEUS EXMACHINA INDONESIA,10,33,19523910.0,4,4,2,Potential Loyalist,2025-10-23
DEVA INDUSTRIES,22,10,8728904.0,4,3,2,Potential Loyalist,2025-10-23
DEVA MAHAPUTRA,320,18,12669643.0,3,3,2,Potential Loyalist,2025-10-23
DEVAN MULIA JAYA,273,13,1419606.0,3,3,2,Potential Loyalist,2025-10-23
DEVARSH SUKSES FOREVER,188,3,405000.0,3,2,1,Need Attention,2025-10-23
DEWA PUTERA MUSTIKA,1633,1,4015.0,1,1,1,Lost,2025-10-23
DEWA SUTRATEX,7,629,28362048953.0,4,4,4,Champions,2025-10-23
DEWA TUNGGAL ABADI,240,2,472494617.0,3,1,3,New Customers,2025-10-23
DEWANDARU INDOJATI,1144,3,1320834.0,1,2,2,Hibernating,2025-10-23
DEWANTO,20,4,158080.0,4,2,1,Need Attention,2025-10-23
DEWATA KRISTAL GEMILANG,491,2,645040.0,2,1,1,Hibernating,2025-10-23
DEWATA VULCANINDO SURYAJAYA,9,160,160663585912.0,4,4,4,Champions,2025-10-23
DEWI GEMILANG BERDIKARI,23,6,2366645.0,4,2,2,Need Attention,2025-10-23
DEWI GEMILANG SEJAHTERA,689,3,532280.0,2,2,1,About to Sleep,2025-10-23
DEWI SAMUDRA KUSUMA,693,2,542947650.0,2,1,3,Hibernating,2025-10-23
DEWY TEXTILE FACTORY,1400,8,43574883.0,1,3,3,Can't Lose Them,2025-10-23
DEXA MEDICA,511,5,139545.0,2,2,1,About to Sleep,2025-10-23
DEXIN STEEL INDONESIA,3,32,508262286.0,4,4,3,Loyal Customers,2025-10-23
DEXTONE LEMINDO,544,3,488516.0,2,2,1,About to Sleep,2025-10-23
DHANAR MAS CONCERN,299,5,588000.0,3,2,1,Need Attention,2025-10-23
DHANIJAYA PUTRA CEMERLANG,457,2,10404063134.0,2,1,4,Hibernating,2025-10-23
DHANISTHA KARYA ABADI,1225,3,370220.0,1,2,1,Hibernating,2025-10-23
DHANUSH EXPORT INTERNATIONAL,1518,5,97995.0,1,2,1,Hibernating,2025-10-23
DHARMA AYU TANI,878,1,3482.0,2,1,1,Hibernating,2025-10-23
DHARMA ELECTRINDO MANUFACTURING,30,19,2891054.0,4,3,2,Potential Loyalist,2025-10-23
DHARMA HUSADA MANDIRI,638,12,20726940843.0,2,3,4,At Risk,2025-10-23
DHARMA KARYATAMA MULIA,233,2,3783647624.0,3,1,3,New Customers,2025-10-23
DHARMA KREASI NUSA,23,3,8817646.0,4,2,2,Need Attention,2025-10-23
DHARMA LANCAR SUKSES,839,62,239369470244.0,2,4,4,At Risk,2025-10-23
DHARMA MAKMUR,527,1,71739.0,2,1,1,Hibernating,2025-10-23
DHARMA PERKASA GEMILANG,55,33,1011858.0,3,4,2,Potential Loyalist,2025-10-23
DHARMA SUMBERDAYA INDONESIA,7,2,1700367.0,4,1,2,Need Attention,2025-10-23
DHARMA WANA KUSALA,91,15,11375871001.0,3,3,4,Champions,2025-10-23
DHARMAPALA USAHA SUKSES,44,127,3034352703.0,3,4,3,Loyal Customers,2025-10-23
DHARMARINDO ANUGERAH SURYA,76,10,14605910223.0,3,3,4,Champions,2025-10-23
DHARMAWAN INTERSARANA,1129,1,972215.0,1,1,2,Lost,2025-10-23
DHARMESTA SWASTI MANDIRI,828,11,2112450.0,2,3,2,At Risk,2025-10-23
DHAS TRADING INDONESIA,9,6,140821.0,4,2,1,Need Attention,2025-10-23
DHAYA ANUGERAH UTAMA,577,9,105657030.0,2,3,3,At Risk,2025-10-23
DIALOGUE PUTRA PRIMA,1337,1,4618773532.0,1,1,3,Lost,2025-10-23
DIAMANTE SPARKLE FORWARDING,56,25,60240665.0,3,3,3,Loyal Customers,2025-10-23
DIAMAS STAR,409,1,11362596.0,2,1,2,Hibernating,2025-10-23
DIAMESCO INDONESIA,1437,1,25800.0,1,1,1,Lost,2025-10-23
DIAMOND COLD STORAGE,378,30,8912887873.0,2,4,4,At Risk,2025-10-23
DIAMOND DIACI ANUGRAH JAYA,35,6,16589575032.0,4,2,4,New Customers,2025-10-23
DIAMOND ELECTRIC MFG INDONESIA,695,3,21229929.0,2,2,2,About to Sleep,2025-10-23
DIAMOND INTEREST INTERNATIONAL,428,8,2538344.0,2,3,2,At Risk,2025-10-23
DIAMOND INTERNATIONAL INDONESIA,160,1,1025725.0,3,1,2,Need Attention,2025-10-23
DIAMOND SUKSES SENTOSA,14,38,1077440.0,4,4,2,Potential Loyalist,2025-10-23
DIAMONDFAIR RITEL INDONESIA,1050,2,85572.0,1,1,1,Lost,2025-10-23
DIAMONDINDO MITRA LESTARI,27,13,60083.0,4,3,1,Promising,2025-10-23
DIAN CIPTA PERKASA,6,238,14535063.0,4,4,2,Potential Loyalist,2025-10-23
DIAN CITRA UTAMA,154,1,39411.0,3,1,1,Need Attention,2025-10-23
DIAN MAS PRATAMA,148,18,176825.0,3,3,1,Promising,2025-10-23
DIAN MEGAH INDO PERKASA,1499,2,139461.0,1,1,1,Lost,2025-10-23
DIAN NATURA AGRIFARMA,107,3,127894913.0,3,2,3,New Customers,2025-10-23
DIAN RAYA CIPTA,316,20,198740851.0,3,3,3,Loyal Customers,2025-10-23
DIANSARI PURI PLASTINDO,310,2,5546029.0,3,1,2,Need Attention,2025-10-23
DIANSURYA GLOBAL,62,3,1233514259.0,3,2,3,New Customers,2025-10-23
DIASTIKA BIOTEKINDO,554,13,223904.0,2,3,1,At Risk,2025-10-23
DIC ASTRA CHEMICALS,1578,3,5124017694.0,1,2,3,Hibernating,2025-10-23
DIC GRAPHICS,3,46,169034730.0,4,4,3,Loyal Customers,2025-10-23
DIDA INTERNATIONAL TRADING,371,3,7190452517.0,2,2,4,About to Sleep,2025-10-23
DIEBOLD NIXDORF INDONESIA,12,76,16666307.0,4,4,2,Potential Loyalist,2025-10-23
DIESEL SERVIS SINERGI,1466,3,10988019032.0,1,2,4,Hibernating,2025-10-23
DIESEL UTAMA INDONESIA,1448,5,11567057844.0,1,2,4,Hibernating,2025-10-23
DIESVAN DWIPUTRA BERSINERGI,36,31,41504952526.0,4,4,4,Champions,2025-10-23
DIGDAYA PUTRA PERKASA,1715,1,21736.0,1,1,1,Lost,2025-10-23
DIGDAYA SENTOSA ABADI,1541,26,69455429.0,1,3,3,Can't Lose Them,2025-10-23
DIGITAL ASIA,855,15,3075190.0,2,3,2,At Risk,2025-10-23
DIGITAL DISTRIBUSI INDONESIA,23,2,865848.0,4,1,1,Need Attention,2025-10-23
DIGITAL GEMILANG SELINDO,512,2,1092612206.0,2,1,3,Hibernating,2025-10-23
DIGITAL GRAFIKA INDONESIA,779,5,520500.0,2,2,1,About to Sleep,2025-10-23
DIGITAL INDO MAKMUR,62,6,182044.0,3,2,1,Need Attention,2025-10-23
DIGITAL INOVASI ASIA,195,7,11903230.0,3,3,2,Potential Loyalist,2025-10-23
DIGITAL LIFE,346,4,33546.0,2,2,1,About to Sleep,2025-10-23
DIGITAL MECHANICAL TECHNOLOGY,708,5,45473004.0,2,2,3,About to Sleep,2025-10-23
DIGITAL MEDIA GRAFINDO,211,33,49007387062.0,3,4,4,Champions,2025-10-23
DIGITAL MULTISARANA INTEGRASI,1168,1,54375.0,1,1,1,Lost,2025-10-23
DIGITAL PRATAMA RETAILINDO,93,3,2093062.0,3,2,2,Need Attention,2025-10-23
DIGITAL PRIMA IMAGING,428,61,7706728891.0,2,4,4,At Risk,2025-10-23
DIGITAL SARANA INTIMEDIA,8,130,25239812678.0,4,4,4,Champions,2025-10-23
DIGITAL SUPLAI INDONESIA,31,52,49685696108.0,4,4,4,Champions,2025-10-23
DIGITAL TEKNOLOGI GLOBAL,638,41,806409.0,2,4,1,At Risk,2025-10-23
DIKA KONSTRUKSI,841,1,91572.0,2,1,1,Hibernating,2025-10-23
DIKE SRI TRISULA,1499,39,5897170.0,1,4,2,Can't Lose Them,2025-10-23
DILIMAS MANDIRI,22,19,832199.0,4,3,1,Promising,2025-10-23
DIMA INDONESIA,2,169,714860220460.0,4,4,4,Champions,2025-10-23
DIMENSI MULTI CAHAYA,166,2,30029718.0,3,1,2,Need Attention,2025-10-23
DINAMIK MULTI SUKSES,5,502,65957643842.0,4,4,4,Champions,2025-10-23
DINAMIKA CIPTA SOLUSI,23,11,371764.0,4,3,1,Promising,2025-10-23
DINAMIKA HARMONI JAYA,895,24,5886236.0,2,3,2,At Risk,2025-10-23
DINAMIKA INDONUSA PRIMA,303,9,14730382.0,3,3,2,Potential Loyalist,2025-10-23
DINAMIKA LINTAS NIAGA,30,4,162611.0,4,2,1,Need Attention,2025-10-23
DINAMIKA MULTI KREASINDO,1641,1,2595.0,1,1,1,Lost,2025-10-23
DINAMIKA SISTEM TEKNOLOGI SOLUSI INDONESIA,1563,1,79872.0,1,1,1,Lost,2025-10-23
DINAMIKA TEKNO STARINDO,770,1,141356105.0,2,1,3,Hibernating,2025-10-23
DINAMIKAPRAKARSA MUKTI,21,25,3530677.0,4,3,2,Potential Loyalist,2025-10-23
DINAMIX NETWORK AUTOMATIKA,1387,1,18800.0,1,1,1,Lost,2025-10-23
DINANTI CAHAYA NUSANTARA,1546,1,29043.0,1,1,1,Lost,2025-10-23
DINAR MAKMUR,575,1,305978478.0,2,1,3,Hibernating,2025-10-23
DINASIRA SEMBADA,57,5,1901803.0,3,2,2,Need Attention,2025-10-23
DING RUI FENG,292,2,16829726650.0,3,1,4,New Customers,2025-10-23
DING SHENG TECH AND TRADE INDONESIA,535,1,1009535205.0,2,1,3,Hibernating,2025-10-23
DING XIN TECHNOLOGY,405,4,4071055824.0,2,2,3,About to Sleep,2025-10-23
DINGDONG PINBALL INDONESIA,117,11,36375200.0,3,3,3,Loyal Customers,2025-10-23
DINGSHENG METAL INDONESIA,1648,2,129000.0,1,1,1,Lost,2025-10-23
DINGSHIN INDO BANGUN,1228,1,41791.0,1,1,1,Lost,2025-10-23
DINGXIN CINTA INDONESIA,365,2,6498106329.0,2,1,4,Hibernating,2025-10-23
DINITO JAYA SAKTI,388,19,64891645641.0,2,3,4,At Risk,2025-10-23
DINO CUSTOM MIXING,246,1,1048557741.0,3,1,3,New Customers,2025-10-23
DION FARMA ABADI,41,20,8363844.0,4,3,2,Potential Loyalist,2025-10-23
DIOSTRI BANGKIT PERSADA,632,109,91919179.0,2,4,3,At Risk,2025-10-23
DIPA INTI NUSANTARA,70,77,95691703953.0,3,4,4,Champions,2025-10-23
DIPA PUSPA LABSAINS,14,17,1452341036.0,4,3,3,Loyal Customers,2025-10-23
DIPSOL INDONESIA,156,5,927532155.0,3,2,3,New Customers,2025-10-23
DIRA MANDIRI JAYA,1051,1,79750.0,1,1,1,Lost,2025-10-23
DIRGA BUANA SARANA,49,8,134896574.0,3,3,3,Loyal Customers,2025-10-23
DIRGAPUTRA EKAPRATAMA,115,34,3627697090.0,3,4,3,Loyal Customers,2025-10-23
DISCOVERY ENVIRONMENTAL SCIENCE INDONESIA,419,1,13329792.0,2,1,2,Hibernating,2025-10-23
DISPOLY INDONESIA,797,10,16733937061.0,2,3,4,At Risk,2025-10-23
DISTRIBUSI KESEHATAN DAN KECANTIKAN NUSANTARA,16,92,347602841.0,4,4,3,Loyal Customers,2025-10-23
DISTRIBUSI MEBEL NUSANTARA,1,13418,1122466163732.0,4,4,4,Champions,2025-10-23
DISTRIBUTOR BERSAMA NUSANTARA,1112,9,261707721.0,1,3,3,Can't Lose Them,2025-10-23
DISTRINDO KOSMETA UTAMA,1259,2,5417685.0,1,1,2,Lost,2025-10-23
DISTRIVERSA BUANAMAS,21,4,64649308.0,4,2,3,New Customers,2025-10-23
DITOSA,1220,7,421228.0,1,3,1,Can't Lose Them,2025-10-23
DIVERSE PRODUCT ENGINEERING,1115,4,97690.0,1,2,1,Hibernating,2025-10-23
DIVERSEY INDONESIA,29,5,699994.0,4,2,1,Need Attention,2025-10-23
DJ BUSANA JAYA,507,104,164205267.0,2,4,3,At Risk,2025-10-23
DJABESDEPO FORTUNA RAYA,106,13,41206194.0,3,3,3,Loyal Customers,2025-10-23
DJAJA HARAPAN,974,6,15937646397.0,1,2,4,Hibernating,2025-10-23
DJARUM,1450,1,5353314989.0,1,1,3,Lost,2025-10-23
DJARUM RAYA,141,1,15215.0,3,1,1,Need Attention,2025-10-23
DJOJONEGORO C-1000,1634,1,42836925.0,1,1,3,Lost,2025-10-23
DJUNIAR & DJUNIAR,2,42,2534707.0,4,4,2,Potential Loyalist,2025-10-23
DKSH INDONESIA,1172,82,2349797605.0,1,4,3,Can't Lose Them,2025-10-23
DKSH MARKET EXPANSION SERVICES INDONESIA,552,60,469924191.0,2,4,3,At Risk,2025-10-23
DMC PLASTIK INDONESIA,608,11,8223305.0,2,3,2,At Risk,2025-10-23
DMT PARAMA ARTA,2,15,93526889.0,4,3,3,Loyal Customers,2025-10-23
DMX TRADING INDONESIA,1374,95,58704657.0,1,4,3,Can't Lose Them,2025-10-23
DNP INDONESIA,2,132,19120843923.0,4,4,4,Champions,2025-10-23
DOCARE LARAS INDONESIA,359,2,92599.0,2,1,1,Hibernating,2025-10-23
DODO ACTIVEWEAR,1483,5,4063206.0,1,2,2,Hibernating,2025-10-23
DODO ACTIVEWEAR KBN,757,4,32667726.0,2,2,2,About to Sleep,2025-10-23
DODO RINDO JAYA ABADI,90,42,146377102227.0,3,4,4,Champions,2025-10-23
DOK BAHARI NUSANTARA,1682,1,9927865352.0,1,1,4,Lost,2025-10-23
DOK KELAPA DUA PERMAI,1126,1,41316.0,1,1,1,Lost,2025-10-23
DOKA FORMWORK INDONESIA,307,1,1542751.0,3,1,2,Need Attention,2025-10-23
DOLPHIN ANUGRAH JAYA,1625,1,197225.0,1,1,1,Lost,2025-10-23
DOM PIZZA INDONESIA,43,5,73434.0,3,2,1,Need Attention,2025-10-23
DOMAS AGROINTI PRIMA,755,1,75200.0,2,1,1,Hibernating,2025-10-23
DOMUSINDO PERDANA,23,28,19944344.0,4,4,2,Potential Loyalist,2025-10-23
DONG CHUANG TECHNOLOGY,3,17,35744655691.0,4,3,4,Champions,2025-10-23
DONG IL METAL INDONESIA,30,25,164753944.0,4,3,3,Loyal Customers,2025-10-23
